IDEESS;Dirección;Horario;Rótulo;Margen;Tipo Venta;Remisión;Latitud;Longitud (WGS84);Municipio;C.P.;Provincia;IDCCAA
4375;AVENIDA CASTILLA LA MANCHA, 26;L-D: 07:00-22:00;Nº 10.935;D;P;dm;39,211417;-1,539167;Abengibre;02250;ALBACETE;07
5122;CR CM-332, 46,4;L-D: 7:00-23:00;REPSOL;I;P;dm;39,100389;-1,346083;Alatoz;02152;ALBACETE;07
10765;AVENIDA 1º DE MAYO, S/N;"L-S: 08:00-22:00; D: 09:00-21:00";CARREFOUR;N;P;dm;38,985667;-1,868500;Albacete;02001;ALBACETE;07
12054;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;L-D: 06:00-21:30;BP ROMICA;I;P;OM;39,054694;-1,832000;Albacete;02001;ALBACETE;07
13933;CALLE FEDERICO GARCIA LORCA, 1;L-D: 24H;PLENOIL;D;P;dm;39,000861;-1,849833;Albacete;02001;ALBACETE;07
4438;CALLE FEDERICO GARCIA LORCA, 5;L-S: 05:00-23:00;CEPSA;I;R;dm;38,997722;-1,846361;Albacete;02001;ALBACETE;07
5195;CL PASEO DE LA CUBA, 15;L-D: 06:00-22:00;REPSOL;D;P;OM;38,999722;-1,854556;Albacete;02005;ALBACETE;07
4369;AVENIDA MENÉNDEZ PIDAL, 58;L-D: 24H;TAMOS;N;P;dm;39,003333;-1,864917;Albacete;02005;ALBACETE;07
15000;AVENIDA ESCRITOR RODRIGO RUBIO, 3;L-S: 09:00-21:30;A&A;D;P;dm;39,006889;-1,885361;Albacete;02005;ALBACETE;07
14123;PASEO CUBA (LA), 36;L-D: 06:00-23:00;CEPSA;N;P;dm;39,005083;-1,859917;Albacete;02005;ALBACETE;07
5313;CALLE HERMANOS FALCÓ, 2;L-D: 06:30-22:30;CEPSA;D;P;dm;38,989250;-1,849028;Albacete;02002;ALBACETE;07
5116;CR N-322, 337,8;L-D: 06:30-22:00;REPSOL;I;P;dm;38,925833;-2,031861;Albacete;02006;ALBACETE;07
5222;CALLE CTRA. DE JAEN, 79;L-D: 06:00-23:00;REPSOL;I;P;dm;38,988111;-1,883694;Albacete;02006;ALBACETE;07
4795;CALLE ALMANSA, 2;L-D: 06:00-23:00;CEPSA;I;P;dm;38,984139;-1,847083;Albacete;02006;ALBACETE;07
4428;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;"L-S: 07:00-23:00; D: 08:00-23:00";FAMILY ENERGY;N;P;dm;38,988972;-1,847361;Albacete;02006;ALBACETE;07
4415;AVDA. DE LOS TOREROS, S/N;L-D: 07:00-23:00;INPEALSA;N;P;dm;38,998222;-1,869889;Albacete;02006;ALBACETE;07
5245;CARRETERA JAEN KM. 2;L-D: 24H;REPSOL;D;P;dm;38,994667;-1,871722;Albacete;02006;ALBACETE;07
