Fecha;IDEESS;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;% BioEtanol;% Éster metílico
01-04-2022;4375;;;;;;1.849;1.349;;;1.799;;;;0.0;0.0
01-04-2022;5122;;;;;;1.91;;2.0;;1.829;;;2.0;0.0;0.0
01-04-2022;12054;;;;;;1.899;;1.989;;1.779;;;1.921;0.0;0.0
01-04-2022;13933;;;;;;1.767;;;;1.707;;;;0.0;0.0
01-04-2022;10765;;;;;;1.869;;1.899;;1.809;;;1.939;0.0;0.0
01-04-2022;4438;;;;;;1.889;;;;;;;;0.0;0.0
01-04-2022;5195;;;;;0.929;1.869;;1.939;;1.789;;;1.899;0.0;0.0
01-04-2022;4369;;;;;;1.889;;1.959;;1.829;;;1.929;0.0;0.0
01-04-2022;14123;;;;;0.979;1.869;;1.929;;1.829;;;1.929;0.0;0.0
01-04-2022;15000;;;;;0.888;1.858;;1.878;;1.878;;;;0.0;0.0
01-04-2022;5313;;;;;;1.919;;1.989;;1.859;;;1.929;0.0;0.0
01-04-2022;4795;;;;;;1.905;;1.974;;1.874;;;1.93;0.0;0.0
01-04-2022;5222;;;;;;1.899;;1.969;;1.829;;;1.949;0.0;0.0
01-04-2022;4428;;;;;;1.769;;1.799;;1.749;;;1.959;0.0;0.0
01-04-2022;4415;;;;;;1.869;;1.919;;1.839;;;;0.0;0.0
01-04-2022;5116;;;;;;1.899;;1.969;;1.849;;;1.959;0.0;0.0
01-04-2022;5191;;;;;;1.875;;1.945;;1.779;;;1.889;0.0;0.0
01-04-2022;5208;;;;;;1.875;;1.945;;1.779;;;1.889;0.0;0.0
01-04-2022;5289;;;;;;1.849;;1.919;;1.759;;;1.899;0.0;0.0
01-04-2022;5245;;;;;;1.899;;1.959;;1.799;;;1.959;0.0;0.0
01-04-2022;4416;;;;;;1.869;;;;1.839;;;;0.0;0.0
01-04-2022;5318;;;;;;1.869;;;;1.859;;;;0.0;0.0
01-04-2022;14377;;;;;;1.869;;;;;;;;0.0;0.0
01-04-2022;5129;;;;;;1.869;;;;1.839;;;;0.0;0.0
01-04-2022;11048;;;;;;1.899;;1.969;;1.849;;;1.909;0.0;0.0
01-04-2022;5272;;;;;;1.829;1.418;1.889;;1.759;;;1.869;0.0;0.0
01-04-2022;4394;;;;;;1.865;1.3;1.9;;1.83;;;;0.0;0.0
01-04-2022;8915;;;;;;;1.73;;;;;;;0.0;0.0
01-04-2022;4417;;;;;;1.869;;1.919;;1.839;;;;0.0;0.0
01-04-2022;12801;;;;;;1.869;;1.919;;1.839;;;1.929;0.0;0.0
01-04-2022;4790;;;;;;1.919;1.379;1.969;;1.849;;;1.959;0.0;0.0
01-04-2022;9601;;;;;;1.789;;1.817;;1.725;;;1.854;0.0;0.0
